id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
248140,Bright Studio - Soho - Central HK,1300549,Darren,,Central & Western,22.28228,114.14923,Entire home/apt,800,3,203,2024-03-04,1.34,1,56,29,
263081,"3 睡房, 2500 平方呎 有工人 Family Friendly! 在中環半山 有車",1370155,Chuster,,Central & Western,22.27723,114.15083,Private room,22348,10,0,,,1,363,0,
274589,"8 mins HKCEC, 5 mins MTR Wan Chai, nr Causeway Bay",1435069,Shanshan,,Wan Chai,22.27924,114.16995,Entire home/apt,1631,4,283,2024-03-04,1.89,1,270,30,
280746,Beautiful 3 bedroom designer Apt,1443229,Alice,,Yuen Long,22.46592,113.98207,Entire home/apt,1117,3,48,2024-02-13,0.33,4,344,9,
306515,"HongKong,Central Bright Double Room",1576511,Frederic,,Central & Western,22.28376,114.15313,Entire home/apt,1014,30,20,2015-08-14,0.14,1,365,0,
505456,GREEN NEST IN  SHEUNG WAN HEART,1189239,Audrey,,Central & Western,22.28543,114.1489,Entire home/apt,850,1,281,2024-02-14,1.96,1,275,29,
562683,Mixed Dorm Bed#1@269 Hennessy Road,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,256,1,113,2019-11-10,0.81,38,365,0,
562808,Mixed Dorm Bed#4@269 Hennessy Road,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,256,1,25,2019-06-14,0.25,38,365,0,
562817,Mixed Dorm Bed#A@269 Hennessy Road,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,256,1,176,2023-06-18,1.24,38,365,7,
562840,Mixed Dorm Bed#B@269 Hennessy Road,2767794,Check Inn HK,,Wan Chai,22.2782412,114.1769881,Shared room,256,1,29,2023-03-02,0.20,38,365,0,
578652,Modern family-friendly suite in fishing village,2846701,Veronica,,Islands,22.25382,113.86251,Hotel room,2571,1,15,2024-02-17,0.14,3,69,1,
603049,Deluxe Room@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.25552,113.86369,Hotel room,1592,1,46,2023-07-02,0.38,3,67,2,
603050,Standard Rm@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.25575,113.86351,Hotel room,1179,1,29,2023-10-02,0.23,3,68,1,
645404,Creative Residence in Kowloon . WM,634820,Wontonmeen,,Yau Tsim Mong,22.32532,114.16433,Hotel room,260,1,192,2024-03-24,1.37,6,37,44,
646645,Creative Residence. Private Room,634820,Wontonmeen,,Yau Tsim Mong,22.32532,114.16433,Private room,413,1,37,2020-01-09,0.26,6,8,0,
728122,Twin bed room for budget travellers,3784841,Albert,,Yau Tsim Mong,22.31807,114.17081,Private room,220,28,12,2023-12-17,0.09,4,267,2,
728126,Nice View Room for 2 travellers,3784841,Albert,,Yau Tsim Mong,22.31808,114.1706,Private room,420,28,21,2023-12-11,0.16,4,279,4,
736732,1 min to ladies market 2 rooms fit 6 ppls,3800609,Zoe,,Yau Tsim Mong,22.32026,114.172,Entire home/apt,1117,1,107,2024-03-17,0.77,8,287,43,
741955,Double bed room for 2 travellers,3784841,Albert,,Yau Tsim Mong,22.31828,114.17047,Private room,324,28,21,2022-04-29,0.15,4,90,0,
742040,Private room for single traveller,3784841,Albert,,Yau Tsim Mong,22.31792,114.17042,Private room,291,28,45,2022-03-31,0.33,4,269,0,
764696,Single bed room with green view,4031260,Jen Ai,,North,22.50294,114.13365,Private room,350,30,37,2022-07-31,0.27,2,272,0,
