"room_type","date","avg_price"
"Entire home/apt","2023/6/24 00:00:00","343.33"
"Hotel room","2023/6/24 00:00:00","470.61"
"Private room","2023/6/24 00:00:00","278.9"
"Shared room","2023/6/24 00:00:00","226.53"
"Entire home/apt","2023/6/25 00:00:00","349.49"
"Hotel room","2023/6/25 00:00:00","416.07"
"Private room","2023/6/25 00:00:00","263.65"
"Shared room","2023/6/25 00:00:00","200.45"
"Entire home/apt","2023/6/26 00:00:00","349.52"
"Hotel room","2023/6/26 00:00:00","386.61"
"Private room","2023/6/26 00:00:00","260.12"
"Shared room","2023/6/26 00:00:00","195.99"
"Entire home/apt","2023/6/27 00:00:00","349.08"
"Hotel room","2023/6/27 00:00:00","391.98"
"Private room","2023/6/27 00:00:00","260.12"
"Shared room","2023/6/27 00:00:00","195.98"
"Entire home/apt","2023/6/28 00:00:00","348.06"
"Hotel room","2023/6/28 00:00:00","351.05"
"Private room","2023/6/28 00:00:00","258.85"
"Shared room","2023/6/28 00:00:00","195.69"
"Entire home/apt","2023/6/29 00:00:00","346.87"
"Hotel room","2023/6/29 00:00:00","344.46"
"Private room","2023/6/29 00:00:00","259.68"
"Shared room","2023/6/29 00:00:00","196.4"
"Entire home/apt","2023/6/30 00:00:00","342.22"
"Hotel room","2023/6/30 00:00:00","417.88"
"Private room","2023/6/30 00:00:00","277.4"
"Shared room","2023/6/30 00:00:00","202.98"
"Entire home/apt","2023/7/1 00:00:00","341.87"
"Hotel room","2023/7/1 00:00:00","485.56"
"Private room","2023/7/1 00:00:00","285.33"
"Shared room","2023/7/1 00:00:00","222.36"
"Entire home/apt","2023/7/2 00:00:00","351.86"
"Hotel room","2023/7/2 00:00:00","370.98"
"Private room","2023/7/2 00:00:00","268.71"
"Shared room","2023/7/2 00:00:00","197"
"Entire home/apt","2023/7/3 00:00:00","350.39"
"Hotel room","2023/7/3 00:00:00","367.98"
"Private room","2023/7/3 00:00:00","266.32"
"Shared room","2023/7/3 00:00:00","196.82"
"Entire home/apt","2023/7/4 00:00:00","350.22"
"Hotel room","2023/7/4 00:00:00","373.37"
"Private room","2023/7/4 00:00:00","266.69"
"Shared room","2023/7/4 00:00:00","196.76"
"Entire home/apt","2023/7/5 00:00:00","351.84"
"Hotel room","2023/7/5 00:00:00","368.49"
"Private room","2023/7/5 00:00:00","267.33"
"Shared room","2023/7/5 00:00:00","196.79"
"Entire home/apt","2023/7/6 00:00:00","351.64"
"Hotel room","2023/7/6 00:00:00","357.39"
"Private room","2023/7/6 00:00:00","266.54"
"Shared room","2023/7/6 00:00:00","196.86"
"Entire home/apt","2023/7/7 00:00:00","346.34"
"Hotel room","2023/7/7 00:00:00","528.32"
"Private room","2023/7/7 00:00:00","284.5"
"Shared room","2023/7/7 00:00:00","217.65"
"Entire home/apt","2023/7/8 00:00:00","347.59"
"Hotel room","2023/7/8 00:00:00","517.51"
"Private room","2023/7/8 00:00:00","286.09"
"Shared room","2023/7/8 00:00:00","225.42"
"Entire home/apt","2023/7/9 00:00:00","351.17"
"Hotel room","2023/7/9 00:00:00","432.83"
"Private room","2023/7/9 00:00:00","273.09"
"Shared room","2023/7/9 00:00:00","201.35"
"Entire home/apt","2023/7/10 00:00:00","352.74"
"Hotel room","2023/7/10 00:00:00","443.61"
"Private room","2023/7/10 00:00:00","272.48"
"Shared room","2023/7/10 00:00:00","201.03"
"Entire home/apt","2023/7/11 00:00:00","352.14"
"Hotel room","2023/7/11 00:00:00","454.1"
"Private room","2023/7/11 00:00:00","273.3"
"Shared room","2023/7/11 00:00:00","201"
"Entire home/apt","2023/7/12 00:00:00","352.46"
"Hotel room","2023/7/12 00:00:00","454.1"
"Private room","2023/7/12 00:00:00","273.16"
"Shared room","2023/7/12 00:00:00","201.03"
"Entire home/apt","2023/7/13 00:00:00","352.32"
"Hotel room","2023/7/13 00:00:00","447.88"
"Private room","2023/7/13 00:00:00","274.73"
"Shared room","2023/7/13 00:00:00","201.33"
"Entire home/apt","2023/7/14 00:00:00","344.76"
"Hotel room","2023/7/14 00:00:00","545.54"
"Private room","2023/7/14 00:00:00","288.17"
"Shared room","2023/7/14 00:00:00","218.11"
"Entire home/apt","2023/7/15 00:00:00","344.99"
"Hotel room","2023/7/15 00:00:00","528.27"
"Private room","2023/7/15 00:00:00","289.38"
"Shared room","2023/7/15 00:00:00","225.68"
"Entire home/apt","2023/7/16 00:00:00","350.51"
"Hotel room","2023/7/16 00:00:00","454.8"
"Private room","2023/7/16 00:00:00","279.64"
"Shared room","2023/7/16 00:00:00","205.2"
"Entire home/apt","2023/7/17 00:00:00","350.54"
"Hotel room","2023/7/17 00:00:00","446.66"
"Private room","2023/7/17 00:00:00","279.2"
"Shared room","2023/7/17 00:00:00","201.47"
"Entire home/apt","2023/7/18 00:00:00","350.84"
"Hotel room","2023/7/18 00:00:00","447.88"
"Private room","2023/7/18 00:00:00","279.14"
"Shared room","2023/7/18 00:00:00","201.37"
"Entire home/apt","2023/7/19 00:00:00","351.11"
"Hotel room","2023/7/19 00:00:00","447.88"
"Private room","2023/7/19 00:00:00","278.8"
"Shared room","2023/7/19 00:00:00","204.86"
"Entire home/apt","2023/7/20 00:00:00","352"
"Hotel room","2023/7/20 00:00:00","525.07"
"Private room","2023/7/20 00:00:00","277.81"
"Shared room","2023/7/20 00:00:00","205.1"
"Entire home/apt","2023/7/21 00:00:00","343.15"
"Hotel room","2023/7/21 00:00:00","603.51"
"Private room","2023/7/21 00:00:00","288.23"
"Shared room","2023/7/21 00:00:00","225.18"
"Entire home/apt","2023/7/22 00:00:00","344.33"
"Hotel room","2023/7/22 00:00:00","607.9"
"Private room","2023/7/22 00:00:00","288.53"
"Shared room","2023/7/22 00:00:00","235.65"
"Entire home/apt","2023/7/23 00:00:00","349.31"
"Hotel room","2023/7/23 00:00:00","491.27"
"Private room","2023/7/23 00:00:00","279.44"
"Shared room","2023/7/23 00:00:00","218.32"
"Entire home/apt","2023/7/24 00:00:00","350.6"
"Hotel room","2023/7/24 00:00:00","475.27"
"Private room","2023/7/24 00:00:00","277.93"
"Shared room","2023/7/24 00:00:00","205"
"Entire home/apt","2023/7/25 00:00:00","350.78"
"Hotel room","2023/7/25 00:00:00","478.73"
"Private room","2023/7/25 00:00:00","278.23"
"Shared room","2023/7/25 00:00:00","205.05"
"Entire home/apt","2023/7/26 00:00:00","350.52"
"Hotel room","2023/7/26 00:00:00","477.05"
"Private room","2023/7/26 00:00:00","278.26"
"Shared room","2023/7/26 00:00:00","204.86"
"Entire home/apt","2023/7/27 00:00:00","351.45"
"Hotel room","2023/7/27 00:00:00","477.05"
"Private room","2023/7/27 00:00:00","278.42"
"Shared room","2023/7/27 00:00:00","218.42"
"Entire home/apt","2023/7/28 00:00:00","345.41"
"Hotel room","2023/7/28 00:00:00","565.56"
"Private room","2023/7/28 00:00:00","286.8"
"Shared room","2023/7/28 00:00:00","225.13"
"Entire home/apt","2023/7/29 00:00:00","345.41"
"Hotel room","2023/7/29 00:00:00","547.44"
"Private room","2023/7/29 00:00:00","287.86"
"Shared room","2023/7/29 00:00:00","235.97"
"Entire home/apt","2023/7/30 00:00:00","351.43"
"Hotel room","2023/7/30 00:00:00","489.88"
"Private room","2023/7/30 00:00:00","279.73"
"Shared room","2023/7/30 00:00:00","218.35"
"Entire home/apt","2023/7/31 00:00:00","351.78"
"Hotel room","2023/7/31 00:00:00","473.88"
"Private room","2023/7/31 00:00:00","278.42"
"Shared room","2023/7/31 00:00:00","208.14"
"Entire home/apt","2023/8/1 00:00:00","350.78"
"Hotel room","2023/8/1 00:00:00","477.29"
"Private room","2023/8/1 00:00:00","279.41"
"Shared room","2023/8/1 00:00:00","208.78"
"Entire home/apt","2023/8/2 00:00:00","350.11"
"Hotel room","2023/8/2 00:00:00","478.02"
"Private room","2023/8/2 00:00:00","279.26"
"Shared room","2023/8/2 00:00:00","208.67"
"Entire home/apt","2023/8/3 00:00:00","350.63"
"Hotel room","2023/8/3 00:00:00","488.68"
"Private room","2023/8/3 00:00:00","279.46"
"Shared room","2023/8/3 00:00:00","208.93"
"Entire home/apt","2023/8/4 00:00:00","344.23"
"Hotel room","2023/8/4 00:00:00","578.93"
"Private room","2023/8/4 00:00:00","286.83"
"Shared room","2023/8/4 00:00:00","242.08"
"Entire home/apt","2023/8/5 00:00:00","344.14"
"Hotel room","2023/8/5 00:00:00","556.44"
"Private room","2023/8/5 00:00:00","288.99"
"Shared room","2023/8/5 00:00:00","259.67"
"Entire home/apt","2023/8/6 00:00:00","349.67"
"Hotel room","2023/8/6 00:00:00","491.78"
"Private room","2023/8/6 00:00:00","279.7"
