"listing_id","season","available_days","total_days","availability_ratio","room_type"
"10001507","Autumn","182","182","1","Private room"
"10001507","Spring","116","116","1","Private room"
"10001507","Summer","161","161","1","Private room"
"10001507","Winter","181","181","1","Private room"
"10002502","Autumn","182","182","1","Private room"
"10002502","Spring","116","116","1","Private room"
"10002502","Summer","161","161","1","Private room"
"10002502","Winter","181","181","1","Private room"
"1000398862565472257","Autumn","91","91","1","Private room"
"1000398862565472257","Spring","80","92","0.869565","Private room"
"1000398862565472257","Summer","91","92","0.98913","Private room"
"1000398862565472257","Winter","90","90","1","Private room"
"1000401910984993832","Autumn","0","91","0","Private room"
"1000401910984993832","Spring","31","92","0.336957","Private room"
"1000401910984993832","Summer","61","92","0.663043","Private room"
"1000401910984993832","Winter","0","90","0","Private room"
"1000426179384733357","Autumn","91","91","1","Entire home/apt"
"1000426179384733357","Spring","67","92","0.728261","Entire home/apt"
"1000426179384733357","Summer","92","92","1","Entire home/apt"
"1000426179384733357","Winter","19","90","0.211111","Entire home/apt"
"10007435","Autumn","110","182","0.604396","Private room"
"10007435","Spring","70","116","0.603448","Private room"
"10007435","Summer","144","161","0.89441","Private room"
"10007435","Winter","91","181","0.502762","Private room"
"10008465","Autumn","102","182","0.56044","Private room"
"10008465","Spring","52","116","0.448276","Private room"
"10008465","Summer","153","161","0.950311","Private room"
"10008465","Winter","20","181","0.110497","Private room"
"1001052132841947134","Autumn","91","91","1","Entire home/apt"
"1001052132841947134","Spring","0","92","0","Entire home/apt"
"1001052132841947134","Summer","31","92","0.336957","Entire home/apt"
"1001052132841947134","Winter","19","90","0.211111","Entire home/apt"
"1001159077092803425","Autumn","91","91","1","Entire home/apt"
"1001159077092803425","Spring","47","92","0.51087","Entire home/apt"
"1001159077092803425","Summer","92","92","1","Entire home/apt"
"1001159077092803425","Winter","20","90","0.222222","Entire home/apt"
"1001212036115847717","Autumn","91","91","1","Entire home/apt"
"1001212036115847717","Spring","60","92","0.652174","Entire home/apt"
"1001212036115847717","Summer","92","92","1","Entire home/apt"
"1001212036115847717","Winter","20","90","0.222222","Entire home/apt"
"1001276333837548637","Autumn","0","91","0","Entire home/apt"
"1001276333837548637","Spring","35","92","0.380435","Entire home/apt"
"1001276333837548637","Summer","88","92","0.956522","Entire home/apt"
